record,prow,pcol,harvester,checks,plot,bloc,entry,r_expt,r_location,loccode,loc,year1,name,source,identity1,v_desc,selection,pedigree,growthstag,headcode,htcm,MicroSD,mmbran,mmch,mmflour,mmmids,notes,notes2,plotlen,plotwid,ppass,ppo,twtg,yieldg,ROI Label,Group,Name,Area of Ground,Area of Plant,Total ROI Area,% Ground Cover,% Plant Cover
615,12,35,0,0,2839,1,57,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-33,,14X1001,,-33,(01-10704A/X06131-34C),47,cbw,79,1,4.41,3,6,12.6,,,345.44,5.5,,D,61.89,1650,P03,19 F5-5,2839,68,3003,3071,0.022,0.978
616,13,35,0,0,2840,1,90,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-121,,14X1001,,-121,(01-10704A/X06131-34C),41,cbw,71,1.5,4.04,4,6.57,10.1,,,391.16,5.5,,D,60.38,1820,O03,19 F5-5,2840,36,3035,3071,0.012,0.988
617,14,35,0,0,2841,1,63,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-46,,14X1001,,-46,(01-10704A/X06131-34C),47,cbaw,70,0.9,5.31,1,3.19,12.9,,,309.88,5.5,,D,59.58,1730,N03,19 F5-5,2841,1,3070,3071,0,1
618,15,35,0,0,2842,1,120,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-175,,14X1001,,-175,(01-10704A/X06131-34C),45,cbw,73,1.4,4.44,2,4.41,11.2,,,373.38,5.5,,D,59.77,1880,M03,19 F5-5,2842,2,3069,3071,0.001,0.999
619,16,35,0,0,2843,1,24,19 F5-5 LIND,Lind,LIN,2,2019,14X1083-0-0-192,,14X1083,,-192,(X06141-1L/X070036-0-0-47C),47,caw,88,1.1,4.55,3,4.46,12.9,,,365.76,5.5,,M,59.26,2210,L03,19 F5-5,2843,0,3071,3071,0,1
620,17,35,0,0,2844,1,4,19 F5-5 LIND,Lind,LIN,2,2019,14X1083-0-0-108,,14X1083,,-108,(X06141-1L/X070036-0-0-47C),47,cbw,64,0.5,4.85,4,5.57,12.1,,,314.96,5.5,,M,60.97,2260,K03,19 F5-5,2844,26,3045,3071,0.008,0.992
621,18,35,0,0,2845,1,91,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-122,,14X1001,,-122,(01-10704A/X06131-34C),47,cbw,78,1,4.33,1,4.05,12.2,,,332.74,5.5,,D,59.45,2210,J03,19 F5-5,2845,38,3033,3071,0.012,0.988
622,19,35,0,0,2846,1,47,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-11,,14X1001,,-11,(01-10704A/X06131-34C),47,caw,87,1.4,4,2,6.1,11,,,320.04,5.5,,D,58.5,2370,I03,19 F5-5,2846,390,2681,3071,0.127,0.873
623,20,35,0,0,2847,1,114,19 F5-5 LIND,Lind,LIN,2,2019,Bobtail,2019 SW Winter PUL,,SWW,,,45,law,83,2.9,3.41,3,5.41,10.4,,,342.9,5.5,,D,57.69,2840,H03,19 F5-5,2847,189,2882,3071,0.062,0.938
624,21,35,0,0,2848,1,104,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-158,,14X1001,,-158,(01-10704A/X06131-34C),47,caw,81,1.5,3.68,4,5.74,10.7,,,342.9,5.5,,D,53.74,2250,G03,19 F5-5,2848,144,2927,3071,0.047,0.953
625,22,35,0,0,2849,1,123,19 F5-5 LIND,Lind,LIN,2,2019,Jasper,2019 Freeze Test,WA 8169,SWW,,J950081-0001/Brundage 96 - 2,45,lbw,80,2.7,3.82,1,4.03,9.8,,,309.88,5.5,,M,58.21,2420,F03,19 F5-5,2849,581,2490,3071,0.189,0.811
626,23,35,0,0,2850,1,52,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-20,,14X1001,,-20,(01-10704A/X06131-34C),45,cabw,80,2,3.85,2,5.89,10.8,,,327.66,5.5,,M,58.15,2570,E03,19 F5-5,2850,204,2867,3071,0.066,0.934
627,24,35,0,0,2851,1,106,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-162,,14X1001,,-162,(01-10704A/X06131-34C),47,cabw,71,2,4.16,3,5.09,10.8,,,325.12,5.5,,D,55.49,2270,D03,19 F5-5,2851,114,2957,3071,0.037,0.963
628,25,35,0,0,2852,1,105,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-160,,14X1001,,-160,(01-10704A/X06131-34C),45,cbw,89,2.2,3.8,4,6.03,11.4,,,370.84,5.5,,D,57.68,2670,C03,19 F5-5,2852,531,2540,3071,0.173,0.827
629,26,35,0,0,2853,1,82,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-97,,14X1001,,-97,(01-10704A/X06131-34C),47,caw,76,1.7,4.19,1,4.17,12.3,,,322.58,5.5,,D,57.86,1930,B03,19 F5-5,2853,740,2331,3071,0.241,0.759
630,27,35,0,0,2854,1,88,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-116,,14X1001,,-116,(01-10704A/X06131-34C),45,cbw,82,1.36,3.74,2,5.87,9.76,,,363.22,5.5,,D,58.44,2110,A03,19 F5-5,2854,132,2939,3071,0.043,0.957
631,27,36,0,0,2855,1,69,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-60,,14X1001,,-60,(01-10704A/X06131-34C),45,caw,64,1.5,4.56,3,6.7,12.3,,,332.74,5.5,,D,57.22,2140,A04,19 F5-5,2855,8,3063,3071,0.003,0.997
632,26,36,0,0,2856,1,45,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-6,,14X1001,,-6,(01-10704A/X06131-34C),47,cbw,75,1.4,3.41,4,6.01,9.49,,,312.42,5.5,,D,59.29,2340,B04,19 F5-5,2856,730,2341,3071,0.238,0.762
633,25,36,0,0,2857,1,18,19 F5-5 LIND,Lind,LIN,2,2019,14X1083-0-0-167,,14X1083,,-167,(X06141-1L/X070036-0-0-47C),45,cbw,87,0.6,4.97,1,4.84,12.1,,,335.28,5.5,,M,61.34,2590,C04,19 F5-5,2857,1402,1669,3071,0.457,0.543
634,24,36,0,0,2858,1,123,19 F5-5 LIND,Lind,LIN,2,2019,Jasper,2019 Freeze Test,WA 8169,SWW,,J950081-0001/Brundage 96 - 2,45,lbt,90,3.2,3.44,2,5.12,8.67,,,322.58,5.5,,M,59.48,2660,D04,19 F5-5,2858,612,2459,3071,0.199,0.801
635,23,36,0,0,2859,1,19,19 F5-5 LIND,Lind,LIN,2,2019,14X1083-0-0-168,,14X1083,,-168,(X06141-1L/X070036-0-0-47C),45,cbaw,88,0.6,4.46,3,6.38,11.5,,,345.44,5.5,,M,59.21,2560,E04,19 F5-5,2859,101,2970,3071,0.033,0.967
636,22,36,0,0,2860,1,29,19 F5-5 LIND,Lind,LIN,2,2019,14X1083-0-0-221,,14X1083,,-221,(X06141-1L/X070036-0-0-47C),49,cbw,78,0.6,4.06,4,5.66,11.1,,,330.2,5.5,,D,59.38,2790,F04,19 F5-5,2860,740,2331,3071,0.241,0.759
637,21,36,0,0,2861,1,100,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-146,,14X1001,,-146,(01-10704A/X06131-34C),47,cbw,87,1.3,4.43,1,4.64,12.4,,,342.9,5.5,,D,59.61,2420,G04,19 F5-5,2861,145,2926,3071,0.047,0.953
638,20,36,0,0,2862,1,115,19 F5-5 LIND,Lind,LIN,2,2019,BRUEHL,2019 SW Winter ALM,SNP1275,WC,,UNA(NS1971)/5/Oasis/4/Luke//Itana/,45,cbw,88,2,3.55,2,5.45,10.9,,,335.28,5.5,,M,58.11,2640,H04,19 F5-5,2862,558,2513,3071,0.182,0.818
639,19,36,0,0,2863,1,40,19 F5-5 LIND,Lind,LIN,2,2019,14X1083-0-0-256,,14X1083,,-256,(X06141-1L/X070036-0-0-47C),49,clbaw,91,0.8,3.77,3,5.59,11.4,,,335.28,5.5,,M,60.07,2140,I04,19 F5-5,2863,336,2735,3071,0.109,0.891
640,18,36,0,0,2864,1,83,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-99,,14X1001,,-99,(01-10704A/X06131-34C),47,cbw,76,1.5,3.75,4,5.8,10.1,,,370.84,5.5,,D,56.77,2460,J04,19 F5-5,2864,13,3058,3071,0.004,0.996
641,17,36,0,0,2865,1,112,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-174,,14X1001,,-174,(01-10704A/X06131-34C),47,cbw,64,0.7,4.14,1,3.7,11.9,,,312.42,5.5,,D,58.53,1880,K04,19 F5-5,2865,158,2913,3071,0.051,0.949
642,16,36,0,0,2866,1,124,19 F5-5 LIND,Lind,LIN,2,2019,Pritchett,16 SOFT ELITE ADV DIS,4J071366-1,17 Soft Elite,,3J030235-1//Bruehl -1 -4,45,cbw,86,0.9,3.39,2,5.26,10.1,,,398.78,5.5,,D,59.6,3310,L04,19 F5-5,2866,961,2110,3071,0.313,0.687
643,15,36,0,0,2867,1,50,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-16,,14X1001,,-16,(01-10704A/X06131-34C),47,cbw,71,1.5,4.02,3,5.09,10.5,,,355.6,5.5,,D,61.07,2310,M04,19 F5-5,2867,180,2891,3071,0.059,0.941
644,14,36,0,0,2868,1,65,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-48,,14X1001,,-48,(01-10704A/X06131-34C),45,cbw,80,1.7,4.28,4,6.79,11.2,,,337.82,5.5,,D,60.19,1620,N04,19 F5-5,2868,50,3021,3071,0.016,0.984
645,13,36,0,0,2869,1,26,19 F5-5 LIND,Lind,LIN,2,2019,14X1083-0-0-205,,14X1083,,-205,(X06141-1L/X070036-0-0-47C),47,cbw,78,2,4.63,1,4.2,12.6,,,378.46,5.5,,D,60.19,1950,O04,19 F5-5,2869,172,2899,3071,0.056,0.944
646,12,36,0,0,2870,1,56,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-31,,14X1001,,-31,(01-10704A/X06131-34C),45,cbw,72,1.7,4.04,2,5.46,12.2,,,375.92,5.5,,M,59.43,2190,P04,19 F5-5,2870,85,2986,3071,0.028,0.972
647,11,36,0,0,2871,1,117,19 F5-5 LIND,Lind,LIN,2,2019,Otto,2019 Freeze Test,Otto,SWW,,Eltan//Madsen/Eltan///Eltan,41,lbw,78,4.3,3.82,3,4.76,10.1,,,327.66,5.5,,L,59.9,2200,Q04,19 F5-5,2871,53,3018,3071,0.017,0.983
648,10,36,0,0,2872,1,14,19 F5-5 LIND,Lind,LIN,2,2019,14X1083-0-0-157,,14X1083,,-157,(X06141-1L/X070036-0-0-47C),47,cabw,87,0.5,4.1,4,6.03,11.1,,,360.68,5.5,,M,57.6,2340,R04,19 F5-5,2872,234,2837,3071,0.076,0.924
649,10,37,0,0,2873,1,46,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-8,,14X1001,,-8,(01-10704A/X06131-34C),45,cbw,84,1,5.13,1,4.74,13.7,,,363.22,5.5,,D,59.77,1900,R05,19 F5-5,2873,151,2920,3071,0.049,0.951
650,11,37,0,0,2874,1,95,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-132,,14X1001,,-132,(01-10704A/X06131-34C),47,cbw,84,1.4,3.74,2,5.4,10.1,,,337.82,5.5,,D,60.65,2220,Q05,19 F5-5,2874,58,3013,3071,0.019,0.981
651,12,37,0,0,2875,1,124,19 F5-5 LIND,Lind,LIN,2,2019,Pritchett,16 SOFT ELITE ADV DIS,4J071366-1,17 Soft Elite,,3J030235-1//Bruehl -1 -4,45,cbw,79,1.3,3.61,3,5.49,10.6,,,342.9,5.5,,D,61.18,2200,P05,19 F5-5,2875,116,2955,3071,0.038,0.962
652,13,37,0,0,2876,1,97,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-140,,14X1001,,-140,(01-10704A/X06131-34C),45,cbw,66,1.4,3.92,4,5.99,10.3,,,396.24,5.5,,D,58.95,2080,O05,19 F5-5,2876,167,2904,3071,0.054,0.946
653,14,37,0,0,2877,1,64,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-47,,14X1001,,-47,(01-10704A/X06131-34C),45,cbw,74,1.2,4.96,1,4.61,13.7,,,304.8,5.5,,D,60.82,1750,N05,19 F5-5,2877,174,2897,3071,0.057,0.943
654,15,37,0,0,2878,1,114,19 F5-5 LIND,Lind,LIN,2,2019,Bobtail,2019 SW Winter PUL,,SWW,,,45,law,81,2.3,3.45,2,5.25,10.3,,,360.68,5.5,,D,58.87,2040,M05,19 F5-5,2878,152,2919,3071,0.049,0.951
655,16,37,0,0,2879,1,38,19 F5-5 LIND,Lind,LIN,2,2019,14X1083-0-0-251,,14X1083,,-251,(X06141-1L/X070036-0-0-47C),45,claw,92,0.7,3.67,3,5.06,11.8,,,322.58,5.5,,M,59.61,2340,L05,19 F5-5,2879,136,2935,3071,0.044,0.956
656,17,37,0,0,2880,1,17,19 F5-5 LIND,Lind,LIN,2,2019,14X1083-0-0-166,,14X1083,,-166,(X06141-1L/X070036-0-0-47C),45,caw,80,1.7,4.19,4,6.18,10.6,,,320.04,5.5,,M,59.82,2660,K05,19 F5-5,2880,619,2452,3071,0.202,0.798
657,18,37,0,0,2881,1,25,19 F5-5 LIND,Lind,LIN,2,2019,14X1083-0-0-197,,14X1083,,-197,(X06141-1L/X070036-0-0-47C),47,cbw,74,1.7,4.64,1,3.76,13.1,,,330.2,5.5,,M,60.72,1990,J05,19 F5-5,2881,443,2628,3071,0.144,0.856
658,19,37,0,0,2882,1,15,19 F5-5 LIND,Lind,LIN,2,2019,14X1083-0-0-161,,14X1083,,-161,(X06141-1L/X070036-0-0-47C),49,caw,87,0.7,4.16,2,4.99,10.8,,,325.12,5.5,,D,59.59,2240,I05,19 F5-5,2882,217,2854,3071,0.071,0.929
659,20,37,0,0,2883,1,123,19 F5-5 LIND,Lind,LIN,2,2019,Jasper,2019 Freeze Test,WA 8169,SWW,,J950081-0001/Brundage 96 - 2,45,lbt,89,2.5,3.75,3,4.65,9.18,,,340.36,5.5,,L,59.5,2590,H05,19 F5-5,2883,642,2429,3071,0.209,0.791
660,21,37,0,0,2884,1,102,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-156,,14X1001,,-156,(01-10704A/X06131-34C),45,cbw,84,1.5,4.07,4,5.94,10.6,,,368.3,5.5,,D,55.63,2400,G05,19 F5-5,2884,121,2950,3071,0.039,0.961
661,22,37,0,0,2885,1,37,19 F5-5 LIND,Lind,LIN,2,2019,14X1083-0-0-245,,14X1083,,-245,(X06141-1L/X070036-0-0-47C),47,cbw,72,0.5,4.71,1,4.09,13,,,358.14,5.5,,M,60.83,2200,F05,19 F5-5,2885,292,2779,3071,0.095,0.905
662,23,37,0,0,2886,1,70,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-61,,14X1001,,-61,(01-10704A/X06131-34C),47,cbw,74,2.4,3.95,2,5.32,10.6,,,325.12,5.5,,D,58.49,2110,E05,19 F5-5,2886,829,2242,3071,0.27,0.73
663,24,37,0,0,2887,1,113,19 F5-5 LIND,Lind,LIN,2,2019,ARS Crescent,,,,,Dusty//MDN sib/Dusty///WA7665/RULO,45,cbw,80,0.7,3.47,3,5.17,10.2,,,345.44,5.5,,D,60.62,2360,D05,19 F5-5,2887,1580,1491,3071,0.514,0.486
664,25,37,0,0,2888,1,55,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-25,,14X1001,,-25,(01-10704A/X06131-34C),47,cbw,81,0.7,4.8,4,6.32,11.5,,,381,5.5,,D,58.39,2610,C05,19 F5-5,2888,259,2812,3071,0.084,0.916
665,26,37,0,0,2889,1,51,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-17,,14X1001,,-17,(01-10704A/X06131-34C),47,cbw,78,1.3,4.67,1,4.55,12.6,,,325.12,5.5,,D,59.22,2050,B05,19 F5-5,2889,643,2428,3071,0.209,0.791
666,27,37,0,0,2890,1,89,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-119,,14X1001,,-119,(01-10704A/X06131-34C),47,cbw,76,1.4,3.73,2,5.63,10.2,,,363.22,5.5,,D,60.13,1890,A05,19 F5-5,2890,388,2683,3071,0.126,0.874
667,27,38,0,0,2891,1,118,19 F5-5 LIND,Lind,LIN,2,2019,SY Banks,,,,,,45,lbw,81,1.6,3.17,3,4.07,10.9,,,312.42,5.5,,M,60.35,1670,A06,19 F5-5,2891,837,2234,3071,0.273,0.727
668,26,38,0,0,2892,1,41,19 F5-5 LIND,Lind,LIN,2,2019,14X1083-0-0-260,,14X1083,,-260,(X06141-1L/X070036-0-0-47C),45,cbw,75,1.5,3.9,4,6.95,10.2,,,332.74,5.5,,M,60.98,1900,B06,19 F5-5,2892,725,2346,3071,0.236,0.764
669,25,38,0,0,2893,1,42,19 F5-5 LIND,Lind,LIN,2,2019,14X1083-0-0-268,,14X1083,,-268,(X06141-1L/X070036-0-0-47C),49,cbw,84,1.7,4.53,1,3.82,13.8,,,347.98,5.5,,D,61.64,2360,C06,19 F5-5,2893,1940,1131,3071,0.632,0.368
670,24,38,0,0,2894,1,86,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-109,,14X1001,,-109,(01-10704A/X06131-34C),47,cabw,73,1.5,3.67,2,4.94,9.5,,,365.76,5.5,,D,56.96,2060,D06,19 F5-5,2894,1521,1550,3071,0.495,0.505
671,23,38,0,0,2895,1,94,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-130,,14X1001,,-130,(01-10704A/X06131-34C),47,cbw,75,1.5,3.59,3,4.6,9.68,,,365.76,5.5,,D,58.28,2140,E06,19 F5-5,2895,1304,1767,3071,0.425,0.575
672,22,38,0,0,2896,1,44,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-4,,14X1001,,-4,(01-10704A/X06131-34C),45,cbw,74,1,3.57,4,5.47,9.62,,,373.38,5.5,,D,56.79,2450,F06,19 F5-5,2896,520,2551,3071,0.169,0.831
673,21,38,0,0,2897,1,73,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-68,,14X1001,,-68,(01-10704A/X06131-34C),47,cbw,75,0.8,4.5,1,3.55,12.5,,,337.82,5.5,,D,57.34,2380,G06,19 F5-5,2897,476,2595,3071,0.155,0.845
674,20,38,0,0,2898,1,123,19 F5-5 LIND,Lind,LIN,2,2019,Jasper,2019 Freeze Test,WA 8169,SWW,,J950081-0001/Brundage 96 - 2,45,lbt,90,2.1,3.32,2,4.62,8.4,,,330.2,5.5,,M,60.38,2140,H06,19 F5-5,2898,939,2132,3071,0.306,0.694
675,19,38,0,0,2899,1,109,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-167,,14X1001,,-167,(01-10704A/X06131-34C),47,cbw,79,1.9,3.82,3,4.67,10.5,,,342.9,5.5,,D,59.53,2100,I06,19 F5-5,2899,1240,1831,3071,0.404,0.596
676,18,38,0,0,2900,1,21,19 F5-5 LIND,Lind,LIN,2,2019,14X1083-0-0-183,,14X1083,,-183,(X06141-1L/X070036-0-0-47C),49,cbt,82,2.2,4.68,4,5.63,12.2,,,378.46,5.5,,M,61.51,1950,J06,19 F5-5,2900,612,2459,3071,0.199,0.801
677,17,38,0,0,2901,1,5,19 F5-5 LIND,Lind,LIN,2,2019,14X1083-0-0-112,,14X1083,,-112,(X06141-1L/X070036-0-0-47C),47,clbaw,79,1,4.14,1,4.6,13,,,332.74,5.5,,D,59.89,2130,K06,19 F5-5,2901,70,3001,3071,0.023,0.977
678,16,38,0,0,2902,1,115,19 F5-5 LIND,Lind,LIN,2,2019,BRUEHL,2019 SW Winter ALM,SNP1275,WC,,UNA(NS1971)/5/Oasis/4/Luke//Itana/,41,cbw,80,2,3.37,2,5.37,10.8,,,360.68,5.5,,M,58.21,2840,L06,19 F5-5,2902,531,2540,3071,0.173,0.827
679,15,38,0,0,2903,1,92,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-127,,14X1001,,-127,(01-10704A/X06131-34C),45,claw,80,2.2,3.82,3,4.55,9.8,,,325.12,5.5,,D,57.88,1540,M06,19 F5-5,2903,496,2575,3071,0.162,0.838
680,14,38,0,0,2904,1,77,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-82,,14X1001,,-82,(01-10704A/X06131-34C),47,caw,73,1.6,3.66,4,5.73,10.1,,,317.5,5.5,,D,56.86,1230,N06,19 F5-5,2904,72,2999,3071,0.023,0.977
681,13,38,0,0,2905,1,61,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-42,,14X1001,,-42,(01-10704A/X06131-34C),45,cbw,80,1.7,4.42,1,4.82,13,,,375.92,5.5,,M,61.17,2330,O06,19 F5-5,2905,15,3056,3071,0.005,0.995
682,12,38,0,0,2906,1,124,19 F5-5 LIND,Lind,LIN,2,2019,Pritchett,16 SOFT ELITE ADV DIS,4J071366-1,17 Soft Elite,,3J030235-1//Bruehl -1 -4,45,cbw,88,1.3,3.07,2,5.33,9.46,,,347.98,5.5,,M,59.39,2700,P06,19 F5-5,2906,315,2756,3071,0.103,0.897
683,11,38,0,0,2907,1,81,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-93,,14X1001,,-93,(01-10704A/X06131-34C),45,caw,66,2.1,3.62,3,4.95,10.1,,,317.5,5.5,,D,58.74,1750,Q06,19 F5-5,2907,55,3016,3071,0.018,0.982
684,10,38,0,0,2908,1,33,19 F5-5 LIND,Lind,LIN,2,2019,14X1083-0-0-234,,14X1083,,-234,(X06141-1L/X070036-0-0-47C),45,cbw,77,2.4,3.8,4,7.34,11,,,355.6,5.5,,M,59.46,2200,R06,19 F5-5,2908,728,2343,3071,0.237,0.763
685,10,39,0,0,2909,1,16,19 F5-5 LIND,Lind,LIN,2,2019,14X1083-0-0-162,,14X1083,,-162,(X06141-1L/X070036-0-0-47C),45,cbw,64,0.5,4.61,1,4.08,12.1,,,358.14,5.5,,D,59.41,2070,R07,19 F5-5,2909,746,2325,3071,0.243,0.757
686,11,39,0,0,2910,1,32,19 F5-5 LIND,Lind,LIN,2,2019,14X1083-0-0-231,,14X1083,,-231,(X06141-1L/X070036-0-0-47C),45,clbw,58,1,4.15,2,5.37,10.3,,,353.06,5.5,,M,60.85,2040,Q07,19 F5-5,2910,56,3015,3071,0.018,0.982
687,12,39,0,0,2911,1,22,19 F5-5 LIND,Lind,LIN,2,2019,14X1083-0-0-188,,14X1083,,-188,(X06141-1L/X070036-0-0-47C),47,cbw,84,0.5,4.39,3,4.95,11.8,,,360.68,5.5,,M,60.69,2030,P07,19 F5-5,2911,403,2668,3071,0.131,0.869
688,13,39,0,0,2912,1,34,19 F5-5 LIND,Lind,LIN,2,2019,14X1083-0-0-235,,14X1083,,-235,(X06141-1L/X070036-0-0-47C),45,cbw,76,0.5,3.92,4,6.4,11.9,,,378.46,5.5,,M,59.92,2390,O07,19 F5-5,2912,43,3028,3071,0.014,0.986
689,14,39,0,0,2913,1,124,19 F5-5 LIND,Lind,LIN,2,2019,Pritchett,16 SOFT ELITE ADV DIS,4J071366-1,17 Soft Elite,,3J030235-1//Bruehl -1 -4,45,cbw,76,1,3.89,1,3.57,11.4,,,327.66,5.5,,M,60.06,1890,N07,19 F5-5,2913,743,2328,3071,0.242,0.758
690,15,39,0,0,2914,1,107,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-164,,14X1001,,-164,(01-10704A/X06131-34C),47,cbw,79,2.1,3.98,2,4.49,10.2,,,386.08,5.5,,D,56.97,1680,M07,19 F5-5,2914,1431,1640,3071,0.466,0.534
691,16,39,0,0,2915,1,116,19 F5-5 LIND,Lind,LIN,2,2019,LCS-HULK,,,,,,45,lbw,86,3.6,4.26,3,4.4,11.4,,,358.14,5.5,,M,60.36,2790,L07,19 F5-5,2915,409,2662,3071,0.133,0.867
692,17,39,0,0,2916,1,49,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-13,,14X1001,,-13,(01-10704A/X06131-34C),45,cbw,82,2.3,4.54,4,5.58,11.7,,,325.12,5.5,,D,61.19,2020,K07,19 F5-5,2916,204,2867,3071,0.066,0.934
693,18,39,0,0,2917,1,28,19 F5-5 LIND,Lind,LIN,2,2019,14X1083-0-0-218,,14X1083,,-218,(X06141-1L/X070036-0-0-47C),49,caw,79,0.9,4.09,1,3.79,13,,,365.76,5.5,,D,59.68,2600,J07,19 F5-5,2917,18,3053,3071,0.006,0.994
694,19,39,0,0,2918,1,123,19 F5-5 LIND,Lind,LIN,2,2019,Jasper,2019 Freeze Test,WA 8169,SWW,,J950081-0001/Brundage 96 - 2,45,lbt,77,3,3.31,2,4.71,8.45,,,345.44,5.5,,M,59.54,1960,I07,19 F5-5,2918,90,2981,3071,0.029,0.971
695,20,39,0,0,2919,1,62,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-43,,14X1001,,-43,(01-10704A/X06131-34C),47,cbw,77,2.4,4.8,3,5.51,12.8,,,345.44,5.5,,D,59,2540,H07,19 F5-5,2919,1107,1964,3071,0.36,0.64
696,21,39,0,0,2920,1,53,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-22,,14X1001,,-22,(01-10704A/X06131-34C),47,cbw,78,1.9,4.15,4,5.43,10.6,,,373.38,5.5,,D,56.66,2370,G07,19 F5-5,2920,794,2277,3071,0.259,0.741
697,22,39,0,0,2921,1,121,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-176,,14X1001,,-176,(01-10704A/X06131-34C),45,cbw,88,1.4,4.28,1,3.83,12,,,358.14,5.5,,D,60.12,2160,F07,19 F5-5,2921,1597,1474,3071,0.52,0.48
698,23,39,0,0,2922,1,75,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-77,,14X1001,,-77,(01-10704A/X06131-34C),47,cbw,70,1.9,4.27,2,5.41,10.6,,,355.6,5.5,,D,59.57,2160,E07,19 F5-5,2922,428,2643,3071,0.139,0.861
699,24,39,0,0,2923,1,85,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-106,,14X1001,,-106,(01-10704A/X06131-34C),45,cbw,85,2.2,3.93,3,4.86,10.6,,,345.44,5.5,,D,59.85,2190,D07,19 F5-5,2923,200,2871,3071,0.065,0.935
700,25,39,0,0,2924,1,9,19 F5-5 LIND,Lind,LIN,2,2019,14X1083-0-0-130,,14X1083,,-130,(X06141-1L/X070036-0-0-47C),47,caw,80,0.5,4.79,4,5.47,11.4,,,370.84,5.5,,M,61.53,2190,C07,19 F5-5,2924,538,2533,3071,0.175,0.825
701,26,39,0,0,2925,1,60,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-41,,14X1001,,-41,(01-10704A/X06131-34C),47,cbw,71,0.5,5.28,1,4.23,13.2,,,322.58,5.5,,D,60.18,1530,B07,19 F5-5,2925,1392,1679,3071,0.453,0.547
702,27,39,0,0,2926,1,66,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-49,,14X1001,,-49,(01-10704A/X06131-34C),47,cbw,78,2,4.2,2,5.76,11.8,,,358.14,5.5,,D,60.29,2340,A07,19 F5-5,2926,1287,1784,3071,0.419,0.581
703,27,40,0,0,2927,1,78,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-87,,14X1001,,-87,(01-10704A/X06131-34C),45,cbw,78,2.2,4.05,3,4.87,11.2,,,373.38,5.5,,D,59.63,2060,A08,19 F5-5,2927,489,2582,3071,0.159,0.841
704,26,40,0,0,2928,1,71,19 F5-5 LIND,Lind,LIN,2,2019,14X1001-0-0-64,,14X1001,,-64,(01-10704A/X06131-34C),47,cbw,72,1.8,4.32,4,5.52,10.8,,,337.82,5.5,,D,59.57,1630,B08,19 F5-5,2928,346,2725,3071,0.113,0.887
